Parent Link,Parent Title,Child Link,Child Title
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Henry_IV_of_France',b'Henry IV of France'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Pont_Neuf',b'Pont Neuf'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Tuileries_Palace',b'Tuileries Palace'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Place_des_Vosges',b'Place des Vosges'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Cardinal_Richelieu',b'Cardinal Richelieu'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Louis_XIII_of_France',b'Louis XIII of France'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/College_of_Sorbonne',b'College of Sorbonne'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Palais-Royal',b'Palais-Royal'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Jan_Janssonius',b'Jan Janssonius'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Fronde',b'Fronde'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Louis_XIV_of_France',b'Louis XIV of France'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Palace_of_Versailles',b'Palace of Versailles'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Com%C3%A9die-Fran%C3%A7aise',b'Com\xc3\xa9die-Fran\xc3\xa7aise'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/French_Academy_of_Sciences',b'French Academy of Sciences'

